Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење  е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/6/2019 0:48:17,Network planning and development ,Powerpoint,во претставништво на странска компанија во Македонија,Senior,110000,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",LinkedIn ,Машки,35-44,Завршени дипломски студии,Пракса во ИКТ компанија,16-20 години,
2/6/2019 1:05:44,System admin,"Powershell, Vmware ESXi",во домашна компанија,Middle,50000,11 - 100,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата",Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/6/2019 1:15:26,Cyber Security,"Dobar Cyber security ne se oslonuva na edna alatka. Vo zavisnost od kategorijata koja se monitorira ili koja treba da se modificira so cel podobra zashtita, taa ja koristime. Menadzirame i monitorirame momentalno 25+ servisi.",во претставништво на странска компанија во Македонија,Middle,43000,11 - 100,Dual-boot,"nerealnite baranja/rabotni obvrski koi treba da se pokrieni od povekje lugje, a baraat samo od 1","Можност за учење и развој, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,"LinkedIn e edinstvenoto neshto shto doagja vo predvid so ogled na toa shto svesnosta za cyber bezbednosta e na nezavidno nisko nivo vo drzavava, i dopolnitelno kako shto povekjeto IT firmi vo Makedonija se shivalni i.e outsourcing therefore ne se primarno zainteresirani za bezbednosta na aplikaciite.",Женски,25-34,"Zavrsheni diplomski studii na Praven fakultet, posleden semestar na studiranje na FINKI.","Ne sum zainteresirana za digitalen marketing. Znam shto e i koja e celta, megjutoa so samoto toa shto ne sum zainteresirana ne mozam da kazam deka imam sobrano dopolnitelno znaenje osven bazichnoto neizbezhno vo opkruzuvanje na socijalni mediumi.",помалку од 5,
2/6/2019 8:20:51,System engineer,Linux,во домашна компанија,Middle,60000,501 - 1000,Linux,None,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Лошо напишана документација, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/6/2019 9:07:48,Системски Администратор,bash,во домашна компанија,Middle,25000,101 - 500,Linux,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Профилот и искуството на другите вработени во тимот","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/6/2019 10:27:20,Site Reliability Engineer,bash,во домашна компанија,Middle,60000,11 - 100,Linux,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 12:41:37,System Admin / DevOps,ssh/konsole,"во домашна компанија, remote за странска компанија, remote за домашна компанија",Senior,52000,11 - 100,Linux,"Недоволно информации за работната позиција, Нереалните барања на работодавците околу позицијата.","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите, Има многу луѓе кои што едноставно не си ја работат работата и немаат чуство на одговорност.",Зборувам со менаџерот/претпоставениот,Да,Барам работа во странство на странски веб страници и познаници.,Машки,25-34,Средно образование,"Ова прашање не смее да биде одговорено единечно. Учењето се заснова на желбата за напреднок на човек и ги користи сите горе наведени опции. Курсеви, обуки, пракса, самоиницијавно се се користи.",16-20 години,
2/6/2019 13:30:55,All-in-one-wonder-pro,VSCode,во домашна компанија,Senior,43000,1-10,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/6/2019 14:03:24,Продажба - Business Development/Lead Generation,CRM - Linkedin,во домашна компанија,Senior,46000,501 - 1000,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата","Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,5-10 години,
2/6/2019 14:08:38,Компјутерски мрежи и мрежна безбедност,cisco.com,"во претставништво на странска компанија во Македонија, фриленс",Middle,30000,1000+,Dual-boot,"Нетранспарентност во процесот на одредување на платата, Не секогаш интервјуата се прават од кадар стручен за областа(прв круг на интервјуа обично ги прави човечки ресурси)","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки",Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,помалку од 5,
