Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дигитален маркетинг е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/5/2019 23:33:15,Е-маркетинг специјалист,"Buffer najvekje, kako i mnogu drugi",фриленс,Se :),30000,Само јас,Windows,Немање доволно информации за компанијата,"Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Можност за работа од дома (remote work)","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,all above,Машки,25-34,Завршени дипломски студии,all above,5-10 години,
2/5/2019 23:38:51,Менаџер за дигитален маркетинг,Google Ads & Analytics,Сопствен стартап,Директор,45000,1-10,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/6/2019 0:06:41,Пишување на содржина за дигитални платформи,"Hemingway, Grammarly ",фриленс,Senior,30000,1-10,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Интересни проблеми за решавање/проектот на кој ќе работам, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Ниту едно од наведените,Да,Социјални медиуми,Женски,35-44,Завршени постдипломски студии,Дипломските и додипломските студии,11-15 години,
2/6/2019 0:09:01,Менаџер за дигитален маркетинг,"Google Ads, Facebook Ads Manager, Google Analytics, Excel",во претставништво на странска компанија во Македонија,Senior,37000,11 - 100,,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Стабилност на компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,"За примарен извор на моето знаење можеше само едно да се одбере, а имам 3 - додипломски студии,самоиницијативно учење онлајн и обука во локални специјализирани центри. Примарен е додипломски, но со секоја обука се учи нешто ново и се надоградува."
2/6/2019 0:11:12,SEO специјалист,Ahrefs,remote за странска компанија,Middle,50000,Само јас,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 0:36:00,Marketing & Business Development Startegy,Jira,во домашна компанија,Senior,45675,11 - 100,Mac,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,25-34,Завршени дипломски студии,Freelance работа и паралелни обуки,5-10 години,"Прашалникот не ви е добро структуриран, имате испуштено многу битни детали во опфатноста на анализата и затоа сум скептична за резултатите и толкувањето на истите. "
2/6/2019 8:06:24,Менаџер за дигитален маркетинг,facebook,во домашна компанија,Senior,70000,1-10,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work)","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,35-44,Завршени постдипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/6/2019 8:08:35,Менаџер за дигитален маркетинг,"facebook, instagram, google ads, google analytics, mailchimp, wordpress",во домашна компанија,Senior,67000,1-10,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Можност за учење и развој, Компаниската култура","Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,35-44,Завршени постдипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/6/2019 9:11:38,SEO специјалист,Ahrefs,фриленс,Middle,380000,Само јас,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Давам отказ, па тогаш барам нова работа",Не и не планирам,Веб страните на компаниите,Машки,25-34,Средно образование,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/6/2019 9:28:15,Е-маркетинг специјалист,"keywords planer, keyword everywhere, keywordtool, ",во домашна компанија,Middle,30000,Само јас,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата, Појма немаат што бараат, знаат само дека бараат дигитален маркетар а незнаат што е тоа во суштина.","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки",Лошо дефинирани работни обврски,Зборувам со менаџерот/претпоставениот,Не и не планирам,На групата за диг маркетинг на фејзбук,Машки,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,"Не разбрав баш за што е анкетава, како и да е ако ви врши работа ок :)"
2/6/2019 10:33:12,Менаџер за дигитален маркетинг,Google Ads,во домашна компанија,Senior,45675,1-10,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Компаниската култура, Профилот и искуството на другите вработени во тимот",Лошо дефинирани работни обврски,Работам со минимално вложување на труд,Да,Се информирам преку познаници,Машки,25-34,Завршени постдипломски студии,Пракса во ИКТ компанија,5-10 години,
2/6/2019 10:42:36,Закуп на онлајн рекламен простор,"Double click, google ads..",во претставништво на странска компанија во Македонија,Junior,25000,1-10,Windows,Долг и бавен процес на интервјуирање,"Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 11:16:17,Менаџер за дигитален маркетинг,All social media + Google ADS,во претставништво на странска компанија во Македонија,Manager,25000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,18-24,Завршени постдипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 12:21:59,"Друштвени медиуми - менаџирање, содржина...","Falcon, kustomer",во претставништво на странска компанија во Македонија,Senior,25000,101 - 500,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 12:24:00,Growth Hacking,Facebook,"фриленс, remote за странска компанија",Lead,300000,1-10,Linux,"Недоволно информации за работната позиција, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки, Pechenjeto e top","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите, Dozdot nadvor","Si begam od MK, najnormalno",Не и не планирам,Социјални медиуми,Машки,18-24,Доктор на науки,Intuitivno se snaogjam,помалку од 5,"Intuitivno sum mashina, to e to"
2/6/2019 12:39:42,Analytics и PPC специјалист,Google Analytics,"фриленс, remote за странска компанија",Consultant,61000,Само јас,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,LinkedIn,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,Make Macedonia Great Again!
2/6/2019 12:53:09,Менаџер за дигитален маркетинг,"Outlook, Facebook, Twitter",во претставништво на странска компанија во Македонија,Middle,36000,101 - 500,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура","Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/6/2019 12:57:42,Пишување на содржина за дигитални платформи,"Google, Backlinko, KeywordsEverywhere, Ahrefs, Semrush, Moz, NeilPatel",во домашна компанија,Middle,16000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 13:13:41,Менаџер за дигитален маркетинг,"Facebook, Instagram, Twitter, Linked In",во домашна компанија,Senior,30,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време",скоро ништо :) лоши брифови од клиенти :),Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/6/2019 13:15:51,Закуп на онлајн рекламен простор,Instagram.com,фриленс,Senior,40000,Само јас,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 13:24:11,"Друштвени медиуми - менаџирање, содржина...",Sprinklr,Во странство,Middle,210000,1000+,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Можност за учење и развој, Плата и бонуси, Компаниската култура, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
