Timestamp,Се декларирам како:,Која алатка ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Првиот чекор при дизајн (prototyping/wireframing) ми започнува со:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дизајн е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/5/2019 23:49:07,Motion Graphics дизајнер,After Effects,фриленс,Senior,90000,Само јас,Windows,Таблет за цртање,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Недостаток на тимска работа","Наоѓам друга работа, па тогаш давам отказ",Да,Се информирам преку познаници,Машки,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 0:23:32,UX дизајнер,Photoshop,Во странство,Senior,240000,1-10,Mac,Лист и хартија,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,LinkedIn,Женски,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/6/2019 0:28:42,Графички дизајнер,InDesign,во домашна компанија,Senior,20000,20,Windows,Illustrator,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лоша интерна организација, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Пракса во компанија или печатница,11-15 години,
2/6/2019 0:31:30,UI/UX designer,Photoshop,во домашна компанија,Lead,75000,1-10,Windows,Лист и хартија,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/6/2019 1:00:22,Веб дизајнер,Photoshop,во домашна компанија,Middle,37000,1-10,Windows,Лист и хартија,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/6/2019 8:31:27,Арт или креативен директор,Illustrator,фриленс,Senior,30,Само јас,Mac,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Давам отказ, па тогаш барам нова работа","Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,35-44,Средно образование,Пракса во компанија или печатница,16-20 години,
2/6/2019 10:37:27,Веб дизајнер,Photoshop,во домашна компанија,Middle,49000,11 - 100,Windows,Photoshop,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,"Да се оддели барем 1 час за учење на новите технологии секој ден: react, angular, node js, mean stack etc etc"
2/6/2019 11:16:57,мултидисциплинарен дизајнер,Photoshop,во домашна компанија,Middle,41200,1-10,Windows,ментална проекција,не сум во тек со процесот на регрутирање,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,35-44,Уште студирам дипломски,"комбинација од онлајн ресурси, печатени книги, списанија, документарни програми",11-15 години,Анкетава може да се преуреди и редуцира малку :)
2/6/2019 11:43:53,Графички дизајнер,Photoshop,во домашна компанија,Senior,20000,Само јас,Windows,Photoshop,Нетранспарентност во процесот на одредување на платата,Плата и бонуси,Сѐ е со највисок приоритет (притисок при работа),Работам со минимално вложување на труд,,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 12:02:40,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Middle,30000,1-10,Mac,Illustrator,"Недоволно информации за работната позиција, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
